,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANALYSIS OF COMPRESSION MEMBERS,,,,,,,,,DESIGN OF COMPRESSION MEMBERS,,,,,,,,,,,,,,,,,,REF,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,rts,ho,Qw,,,PA,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,HSS4X4X.250,HSS4X4X1/4,–,12.21,3.37,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.80,4.69,3.90,1.52,7.80,4.69,3.90,1.52,12.8,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X101.6X6.4,HSS101.6X101.6X6.4,18.1,2170,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.25,76.9,63.9,38.6,3.25,76.9,63.9,38.6,5330,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,HSS4X4X.188,HSS4X4X3/16,–,9.42,2.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.21,3.67,3.10,1.55,6.21,3.67,3.10,1.55,10.0,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X101.6X4.8,HSS101.6X101.6X4.8,14.0,1660,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.58,60.1,50.8,39.4,2.58,60.1,50.8,39.4,4160,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,HSS4X4X.125,HSS4X4X1/8,–,6.46,1.77,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.40,2.56,2.20,1.58,4.40,2.56,2.20,1.58,6.91,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X101.6X3.2,HSS101.6X101.6X3.2,9.59,1140,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.83,42.0,36.1,40.1,1.83,42.0,36.1,40.1,2880,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,HSS4X3X.375,HSS4X3X3/8,–,14.72,4.09,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.93,5.12,3.97,1.39,5.01,4.18,3.34,1.11,10.6,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X76.2X9.5,HSS101.6X76.2X9.5,21.8,2640,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.30,83.9,65.1,35.3,2.09,68.5,54.7,28.2,4410,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,HSS4X3X.313,HSS4X3X5/16,–,12.70,3.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.14,4.51,3.57,1.42,4.52,3.69,3.02,1.13,9.41,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X76.2X7.9,HSS101.6X76.2X7.9,18.8,2270,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.97,73.9,58.5,36.1,1.88,60.5,49.5,28.7,3920,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987,HSS4X3X.250,HSS4X3X1/4,–,10.51,2.91,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.15,3.81,3.07,1.45,3.91,3.12,2.61,1.16,7.96,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X76.2X6.4,HSS101.6X76.2X6.4,15.6,1880,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.56,62.4,50.3,36.8,1.63,51.1,42.8,29.5,3310,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,HSS4X3X.188,HSS4X3X3/16,–,8.15,2.24,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.93,3.00,2.47,1.49,3.16,2.46,2.10,1.19,6.26,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X76.2X4.8,HSS101.6X76.2X4.8,12.1,1450,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.05,49.2,40.5,37.8,1.32,40.3,34.4,30.2,2610,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,HSS4X3X.125,HSS4X3X1/8,–,5.61,1.54,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.52,2.11,1.76,1.52,2.27,1.73,1.51,1.21,4.38,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X76.2X3.2,HSS101.6X76.2X3.2,8.33,994,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.47,34.6,28.8,38.6,0.945,28.3,24.7,30.7,1820,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,HSS4X2-1/2X.250,HSS4X2-1/2X1/4,–,9.66,2.67,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.32,3.38,2.66,1.41,2.53,2.43,2.02,0.973,5.78,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X63.5X6.4,HSS101.6X63.5X6.4,14.3,1720,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.21,55.4,43.6,35.8,1.05,39.8,33.1,24.7,2410,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,HSS4X2-1/2X.188,HSS4X2-1/2X3/16,–,7.51,2.06,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.30,2.67,2.15,1.44,2.06,1.93,1.65,0.999,4.59,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X63.5X4.8,HSS101.6X63.5X4.8,11.2,1330,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.79,43.8,35.2,36.6,0.857,31.6,27.0,25.4,1910,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,HSS4X2-1/2X.125,HSS4X2-1/2X1/8,–,5.18,1.42,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.09,1.88,1.54,1.47,1.49,1.36,1.19,1.03,3.23,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X63.5X3.2,HSS101.6X63.5X3.2,7.70,916,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.29,30.8,25.2,37.3,0.620,22.3,19.5,26.2,1340,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,HSS4X2X.375,HSS4X2X3/8,–,12.17,3.39,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.60,3.84,2.80,1.29,1.80,2.31,1.80,0.729,4.83,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X50.8X9.5,HSS101.6X50.8X9.5,18.0,2190,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.33,62.9,45.9,32.8,0.749,37.9,29.5,18.5,2010,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,HSS4X2X.313,HSS4X2X5/16,–,10.58,2.94,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.13,3.43,2.56,1.32,1.67,2.08,1.67,0.754,4.40,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X50.8X7.9,HSS101.6X50.8X7.9,15.7,1900,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.14,56.2,42.0,33.5,0.695,34.1,27.4,19.2,1830,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,HSS4X2X.250,HSS4X2X1/4,–,8.81,2.44,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.49,2.94,2.25,1.36,1.48,1.79,1.48,0.779,3.82,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X50.8X6.4,HSS101.6X50.8X6.4,13.1,1570,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.87,48.2,36.9,34.5,0.616,29.3,24.3,19.8,1590,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,HSS4X2X.188,HSS4X2X3/16,–,6.87,1.89,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.66,2.34,1.83,1.39,1.22,1.43,1.22,0.804,3.08,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X50.8X4.8,HSS101.6X50.8X4.8,10.2,1220,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.52,38.3,30.0,35.3,0.508,23.4,20.0,20.4,1280,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,HSS4X2X.125,HSS4X2X1/8,–,4.75,1.30,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.65,1.66,1.32,1.43,0.898,1.02,0.898,0.830,2.20,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X50.8X3.2,HSS101.6X50.8X3.2,7.06,839,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.10,27.2,21.6,36.3,0.374,16.7,14.7,21.1,916,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,HSS4X1-1/2X.250,HSS4X1-1/2X1/4,–,7.96,2.21,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.66,2.50,1.83,1.29,0.733,1.21,0.977,0.576,2.14,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X38.1X6.4,HSS101.6X38.1X6.4,11.8,1430,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.52,41.0,30.0,32.8,0.305,19.8,16.0,14.6,891,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,HSS4X1-1/2X.188,HSS4X1-1/2X3/16,–,6.23,1.71,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.02,2.01,1.51,1.33,0.621,0.982,0.827,0.602,1.78,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X38.1X4.8,HSS101.6X38.1X4.8,9.27,1100,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.26,32.9,24.7,33.8,0.258,16.1,13.6,15.3,741,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,HSS4X1-1/2X.125,HSS4X1-1/2X1/8,–,4.33,1.19,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.21,1.43,1.11,1.36,0.467,0.710,0.622,0.627,1.30,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS101.6X38.1X3.2,HSS101.6X38.1X3.2,6.44,768,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.920,23.4,18.2,34.5,0.194,11.6,10.2,15.9,541,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,HSS3-1/2X3-1/2X.375,HSS3-1/2X3-1/2X3/8,–,14.72,4.09,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.49,4.69,3.71,1.26,6.49,4.69,3.71,1.26,11.2,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X88.9X9.5,HSS88.9X88.9X9.5,21.8,2640,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.70,76.9,60.8,32.0,2.70,76.9,60.8,32.0,4660,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,HSS3-1/2X3-1/2X.313,HSS3-1/2X3-1/2X5/16,–,12.70,3.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.84,4.14,3.34,1.29,5.84,4.14,3.34,1.29,9.89,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X88.9X7.9,HSS88.9X88.9X7.9,18.8,2270,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.43,67.8,54.7,32.8,2.43,67.8,54.7,32.8,4120,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,HSS3-1/2X3-1/2X.250,HSS3-1/2X3-1/2X1/4,–,10.51,2.91,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.04,3.50,2.88,1.32,5.04,3.50,2.88,1.32,8.35,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X88.9X6.4,HSS88.9X88.9X6.4,15.6,1880,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.10,57.4,47.2,33.5,2.10,57.4,47.2,33.5,3480,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,HSS3-1/2X3-1/2X188,HSS3-1/2X3-1/2X3/16,–,8.15,2.24,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.05,2.76,2.31,1.35,4.05,2.76,2.31,1.35,6.56,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X88.9X4.8,HSS88.9X88.9X4.8,12.1,1450,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.69,45.2,37.9,34.3,1.69,45.2,37.9,34.3,2730,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,HSS3-1/2X3-1/2X.125,HSS3-1/2X3-1/2X1/8,–,5.61,1.54,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.90,1.93,1.66,1.37,2.90,1.93,1.66,1.37,4.58,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X88.9X3.2,HSS88.9X88.9X3.2,8.33,994,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.21,31.6,27.2,34.8,1.21,31.6,27.2,34.8,1910,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,HSS3-1/2X2-1/2X.375,HSS3-1/2X2-1/2X3/8,–,12.17,3.39,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.75,3.59,2.72,1.18,2.77,2.82,2.21,0.904,6.16,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X63.5X9.5,HSS88.9X63.5X9.5,18.0,2190,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.98,58.8,44.5,30.1,1.15,46.3,36.3,23.0,2560,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,HSS3-1/2X2-1/2X.313,HSS3-1/2X2-1/2X5/16,–,10.58,2.94,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.34,3.20,2.48,1.22,2.54,2.52,2.03,0.930,5.53,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X63.5X7.9,HSS88.9X63.5X7.9,15.6,1900,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.81,52.5,40.7,30.9,1.06,41.4,33.3,23.6,2300,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,HSS3-1/2X2-1/2X.250,HSS3-1/2X2-1/2X1/4,–,8.81,2.44,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.79,2.74,2.17,1.25,2.23,2.16,1.78,0.956,4.75,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X63.5X6.4,HSS88.9X63.5X6.4,13.1,1570,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.58,44.8,35.5,31.7,0.928,35.4,29.2,24.3,1980,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,HSS3-1/2X2-1/2X.188,HSS3-1/2X2-1/2X3/16,–,6.87,1.89,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.09,2.18,1.76,1.28,1.82,1.72,1.46,0.983,3.78,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X63.5X4.8,HSS88.9X63.5X4.8,10.2,1220,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.29,35.7,28.9,32.5,0.760,28.3,23.9,25.0,1570,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,HSS3-1/2X2-1/2X.125,HSS3-1/2X2-1/2X1/8,–,4.75,1.30,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.23,1.54,1.28,1.31,1.33,1.22,1.06,1.01,2.67,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X63.5X3.2,HSS88.9X63.5X3.2,7.07,839,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.929,25.3,20.9,33.2,0.553,20.1,17.4,25.6,1110,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,HSS3-1/2X2X.250,HSS3-1/2X2X1/4,–,7.96,2.21,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.17,2.36,1.81,1.20,1.30,1.58,1.30,0.766,3.16,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X50.8X6.4,HSS88.9X50.8X6.4,11.8,1430,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.32,38.7,29.7,30.5,0.541,25.9,21.3,19.5,1320,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,HSS3-1/2X2X.188,HSS3-1/2X2X3/16,–,6.23,1.71,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.61,1.89,1.49,1.23,1.08,1.27,1.08,0.792,2.55,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X50.8X4.8,HSS88.9X50.8X4.8,9.27,1100,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.09,31.0,24.4,31.2,0.450,20.8,17.7,20.1,1060,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,HSS3-1/2X2X.125,HSS3-1/2X2X1/8,–,4.33,1.19,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.90,1.34,1.09,1.27,0.795,0.912,0.795,0.818,1.83,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X50.8X3.2,HSS88.9X50.8X3.2,6.43,768,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.791,22.0,17.9,32.3,0.331,14.9,13.0,20.8,762,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,HSS3-1/2X1-1/2X.250,HSS3-1/2X1-1/2X1/4,–,7.11,1.97,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.55,1.98,1.46,1.14,0.638,1.06,0.851,0.569,1.79,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X38.1X6.4,HSS88.9X38.1X6.4,10.5,1270,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.06,32.4,23.9,29.0,0.266,17.4,13.9,14.5,745,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,HSS3-1/2X1-1/2X.188,HSS3-1/2X1-1/2X3/16,–,5.59,1.54,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.12,1.60,1.21,1.17,0.544,0.867,0.725,0.594,1.49,–,–,–,–,–,,,–,–,–,–,–,–,–,HSS88.9X38.1X4.8,HSS88.9X38.1X4.8,8.31,994,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.882,26.2,19.8,29.7,0.226,14.2,11.9,15.1,620,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
